STATION,STATION_NAME,DATE,HPCP
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650524 17:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650525 21:00,0.40
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650526 01:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650526 07:00,0.06
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650526 08:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650526 21:00,0.14
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650526 22:00,0.20
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650526 23:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650531 09:00,0.07
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650531 10:00,0.07
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650601 01:00,0.00
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650601 03:00,0.08
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650601 15:00,0.08
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650601 19:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650605 03:00,0.01
